"","orig.ident","nCount_RNA","nFeature_RNA","species","divergence1","divergence2","CT","RNA_snn_res.0.5","seurat_clusters"
"CME25A7799648Aligned.sortedByCoord.out.bam","SeuratProject",868869,6947,"marmoset","newworld","primate","SYS_CS7","12","12"
"CME25A7812666Aligned.sortedByCoord.out.bam","SeuratProject",1794302,9575,"marmoset","newworld","primate","4-cell_CS2","13","13"
"CME25A7799643Aligned.sortedByCoord.out.bam","SeuratProject",858202,13501,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7799629Aligned.sortedByCoord.out.bam","SeuratProject",669286,5791,"marmoset","newworld","primate","SYS_CS7","1","1"
"CME25A7799645Aligned.sortedByCoord.out.bam","SeuratProject",704443,11181,"marmoset","newworld","primate","SYS_CS7","0","0"
"CME25A7799639Aligned.sortedByCoord.out.bam","SeuratProject",495614,9049,"marmoset","newworld","primate","SYS_CS7","12","12"
"CME25A7799644Aligned.sortedByCoord.out.bam","SeuratProject",1362739,13356,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7799641Aligned.sortedByCoord.out.bam","SeuratProject",514098,13808,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7799642Aligned.sortedByCoord.out.bam","SeuratProject",1346990,11830,"marmoset","newworld","primate","4-cell_CS2","13","13"
"CME25A7799636Aligned.sortedByCoord.out.bam","SeuratProject",709543,6796,"marmoset","newworld","primate","SYS_CS7","12","12"
"CME25A7799640Aligned.sortedByCoord.out.bam","SeuratProject",344505,10282,"marmoset","newworld","primate","Tb_CS7","0","0"
"CME25A7799637Aligned.sortedByCoord.out.bam","SeuratProject",224440,5406,"marmoset","newworld","primate","SYS_CS7","1","1"
"CME25A7799638Aligned.sortedByCoord.out.bam","SeuratProject",304678,10889,"marmoset","newworld","primate","Myo_CS7","6","6"
"CME25A7799635Aligned.sortedByCoord.out.bam","SeuratProject",1640655,10084,"marmoset","newworld","primate","4-cell_CS2","13","13"
"CME25A7799632Aligned.sortedByCoord.out.bam","SeuratProject",1655641,8982,"marmoset","newworld","primate","4-cell_CS2","13","13"
"CME25A7799633Aligned.sortedByCoord.out.bam","SeuratProject",454894,7223,"marmoset","newworld","primate","SYS_CS7","12","12"
