"","orig.ident","nCount_RNA","nFeature_RNA","species","divergence1","divergence2","CT","RNA_snn_res.0.5","seurat_clusters"
"CME25A7619425Aligned.sortedByCoord.out.bam","SeuratProject",3644946,10423,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619419Aligned.sortedByCoord.out.bam","SeuratProject",3247620,10040,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619420Aligned.sortedByCoord.out.bam","SeuratProject",924964,11776,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619418Aligned.sortedByCoord.out.bam","SeuratProject",3281056,11085,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619417Aligned.sortedByCoord.out.bam","SeuratProject",3332351,10392,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619421Aligned.sortedByCoord.out.bam","SeuratProject",3742635,11567,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619415Aligned.sortedByCoord.out.bam","SeuratProject",5499869,10724,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619414Aligned.sortedByCoord.out.bam","SeuratProject",4832524,10297,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619416Aligned.sortedByCoord.out.bam","SeuratProject",1278388,11618,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619411Aligned.sortedByCoord.out.bam","SeuratProject",3527851,11286,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619413Aligned.sortedByCoord.out.bam","SeuratProject",4414896,11213,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619410Aligned.sortedByCoord.out.bam","SeuratProject",4529124,11779,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619409Aligned.sortedByCoord.out.bam","SeuratProject",5859997,10724,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7619405Aligned.sortedByCoord.out.bam","SeuratProject",4199303,11272,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619412Aligned.sortedByCoord.out.bam","SeuratProject",2252591,11794,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7619367Aligned.sortedByCoord.out.bam","SeuratProject",757679,11667,"marmoset","newworld","primate","Myo_CS7","6","6"
"CME25A7619357Aligned.sortedByCoord.out.bam","SeuratProject",4688493,14856,"marmoset","newworld","primate","EmDisc_CS7","2","2"
"CME25A7619358Aligned.sortedByCoord.out.bam","SeuratProject",1343354,10022,"marmoset","newworld","primate","ExMes_CS7","1","1"
"CME25A7619359Aligned.sortedByCoord.out.bam","SeuratProject",1523078,8723,"marmoset","newworld","primate","Am_CS7","0","0"
"CME25A7619356Aligned.sortedByCoord.out.bam","SeuratProject",2570892,16148,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7619354Aligned.sortedByCoord.out.bam","SeuratProject",3098027,12466,"marmoset","newworld","primate","EmDisc_CS7","0","0"
"CME25A7619355Aligned.sortedByCoord.out.bam","SeuratProject",2748538,14242,"marmoset","newworld","primate","EmDisc_CS7","2","2"
"CME25A7619352Aligned.sortedByCoord.out.bam","SeuratProject",1779278,14583,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7619346Aligned.sortedByCoord.out.bam","SeuratProject",1869329,13379,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7619347Aligned.sortedByCoord.out.bam","SeuratProject",139858,4304,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7619350Aligned.sortedByCoord.out.bam","SeuratProject",2331819,15384,"marmoset","newworld","primate","EmDisc_CS7","2","2"
"CME25A7619353Aligned.sortedByCoord.out.bam","SeuratProject",770248,8140,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7619348Aligned.sortedByCoord.out.bam","SeuratProject",1426159,14482,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7619351Aligned.sortedByCoord.out.bam","SeuratProject",1560698,15022,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7619345Aligned.sortedByCoord.out.bam","SeuratProject",1036611,13170,"marmoset","newworld","primate","EmDisc_CS7","0","0"
"CME25A7619341Aligned.sortedByCoord.out.bam","SeuratProject",829096,15881,"marmoset","newworld","primate","EmDisc_CS7","2","2"
"CME25A7619344Aligned.sortedByCoord.out.bam","SeuratProject",1771745,13894,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7619343Aligned.sortedByCoord.out.bam","SeuratProject",2639028,14269,"marmoset","newworld","primate","EmDisc_CS7","2","2"
"CME25A7619349Aligned.sortedByCoord.out.bam","SeuratProject",2108868,13399,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7619339Aligned.sortedByCoord.out.bam","SeuratProject",1424753,14896,"marmoset","newworld","primate","EmDisc_CS7","2","2"
"CME25A7619342Aligned.sortedByCoord.out.bam","SeuratProject",807380,6603,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7619340Aligned.sortedByCoord.out.bam","SeuratProject",1845449,14405,"marmoset","newworld","primate","EmDisc_CS7","2","2"
"CME25A7619337Aligned.sortedByCoord.out.bam","SeuratProject",1654771,13925,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7619333Aligned.sortedByCoord.out.bam","SeuratProject",1133588,12760,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7619336Aligned.sortedByCoord.out.bam","SeuratProject",1533934,15652,"marmoset","newworld","primate","EmDisc_CS7","2","2"
"CME25A7619330Aligned.sortedByCoord.out.bam","SeuratProject",1499341,14841,"marmoset","newworld","primate","EmDisc_CS7","2","2"
"CME25A7619335Aligned.sortedByCoord.out.bam","SeuratProject",350198,6253,"marmoset","newworld","primate","Am_CS7","0","0"
"CME25A7619332Aligned.sortedByCoord.out.bam","SeuratProject",1760813,13333,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7619327Aligned.sortedByCoord.out.bam","SeuratProject",1033859,14166,"marmoset","newworld","primate","EmDisc_CS7","2","2"
"CME25A7619331Aligned.sortedByCoord.out.bam","SeuratProject",420282,14871,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7619328Aligned.sortedByCoord.out.bam","SeuratProject",318055,6479,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7619326Aligned.sortedByCoord.out.bam","SeuratProject",1095249,14767,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7619323Aligned.sortedByCoord.out.bam","SeuratProject",1167174,15094,"marmoset","newworld","primate","ExMes_CS7","0","0"
"CME25A7619325Aligned.sortedByCoord.out.bam","SeuratProject",1037693,15966,"marmoset","newworld","primate","EmDisc_CS7","2","2"
"CME25A7619324Aligned.sortedByCoord.out.bam","SeuratProject",2326815,15956,"marmoset","newworld","primate","EmDisc_CS7","2","2"
"CME25A7619322Aligned.sortedByCoord.out.bam","SeuratProject",1854282,13222,"marmoset","newworld","primate","ExMes_CS7","0","0"
"CME25A7619321Aligned.sortedByCoord.out.bam","SeuratProject",311448,7282,"marmoset","newworld","primate","SYS_CS7","12","12"
"CME25A7619315Aligned.sortedByCoord.out.bam","SeuratProject",1391431,12984,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7619320Aligned.sortedByCoord.out.bam","SeuratProject",267451,7739,"marmoset","newworld","primate","SYS_CS7","1","1"
"CME25A7619319Aligned.sortedByCoord.out.bam","SeuratProject",118028,4676,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7619317Aligned.sortedByCoord.out.bam","SeuratProject",398903,6059,"marmoset","newworld","primate","Am_CS7","0","0"
"CME25A7619316Aligned.sortedByCoord.out.bam","SeuratProject",806146,6993,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7619314Aligned.sortedByCoord.out.bam","SeuratProject",3196199,9786,"marmoset","newworld","primate","ExMes_CS7","0","0"
"CME25A7619312Aligned.sortedByCoord.out.bam","SeuratProject",637983,8816,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7619309Aligned.sortedByCoord.out.bam","SeuratProject",683366,8594,"marmoset","newworld","primate","SYS_CS7","1","1"
"CME25A7619310Aligned.sortedByCoord.out.bam","SeuratProject",2822854,10233,"marmoset","newworld","primate","ExMes_CS7","0","0"
"CME25A7619306Aligned.sortedByCoord.out.bam","SeuratProject",662313,8425,"marmoset","newworld","primate","Am_CS7","6","6"
"CME25A7619308Aligned.sortedByCoord.out.bam","SeuratProject",790537,13349,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7619305Aligned.sortedByCoord.out.bam","SeuratProject",721841,10362,"marmoset","newworld","primate","ExMes_CS7","0","0"
"CME25A7619307Aligned.sortedByCoord.out.bam","SeuratProject",440484,7649,"marmoset","newworld","primate","Tb_CS7","4","4"
"CME25A7619302Aligned.sortedByCoord.out.bam","SeuratProject",1408694,11981,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7619301Aligned.sortedByCoord.out.bam","SeuratProject",525726,8971,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7619303Aligned.sortedByCoord.out.bam","SeuratProject",2261151,11954,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7619298Aligned.sortedByCoord.out.bam","SeuratProject",530966,9572,"marmoset","newworld","primate","Tb_CS7","1","1"
"CME25A7619300Aligned.sortedByCoord.out.bam","SeuratProject",864099,15499,"marmoset","newworld","primate","ExMes_CS7","6","6"
"CME25A7619304Aligned.sortedByCoord.out.bam","SeuratProject",562830,10025,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7619299Aligned.sortedByCoord.out.bam","SeuratProject",265425,7569,"marmoset","newworld","primate","Tb_CS7","1","1"
"CME25A7619294Aligned.sortedByCoord.out.bam","SeuratProject",1324672,13542,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7619296Aligned.sortedByCoord.out.bam","SeuratProject",1972792,14429,"marmoset","newworld","primate","Gland_CS7","3","3"
"CME25A7619293Aligned.sortedByCoord.out.bam","SeuratProject",355997,9639,"marmoset","newworld","primate","Tb_CS7","1","1"
"CME25A7619295Aligned.sortedByCoord.out.bam","SeuratProject",140238,5534,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7619284Aligned.sortedByCoord.out.bam","SeuratProject",1240848,15424,"marmoset","newworld","primate","ReGland_CS7","6","6"
"CME25A7619291Aligned.sortedByCoord.out.bam","SeuratProject",2290437,12926,"marmoset","newworld","primate","ExMes_CS7","6","6"
"CME25A7619286Aligned.sortedByCoord.out.bam","SeuratProject",3256730,14187,"marmoset","newworld","primate","EmDisc_CS7","2","2"
"CME25A7619290Aligned.sortedByCoord.out.bam","SeuratProject",2250828,13280,"marmoset","newworld","primate","EmDisc_CS7","0","0"
"CME25A7619282Aligned.sortedByCoord.out.bam","SeuratProject",1395871,10593,"marmoset","newworld","primate","EmDisc_CS7","0","0"
"CME25A7619285Aligned.sortedByCoord.out.bam","SeuratProject",1258636,12017,"marmoset","newworld","primate","EmDisc_CS7","1","1"
"CME25A7619281Aligned.sortedByCoord.out.bam","SeuratProject",1778037,13093,"marmoset","newworld","primate","ExMes_CS7","0","0"
"CME25A7619289Aligned.sortedByCoord.out.bam","SeuratProject",2476446,8099,"marmoset","newworld","primate","Am_CS7","2","2"
"CME25A7619283Aligned.sortedByCoord.out.bam","SeuratProject",1068453,12110,"marmoset","newworld","primate","EmDisc_CS7","1","1"
"CME25A7619280Aligned.sortedByCoord.out.bam","SeuratProject",834899,8105,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7619279Aligned.sortedByCoord.out.bam","SeuratProject",107601,5620,"marmoset","newworld","primate","Am_CS7","1","1"
"CME25A7619277Aligned.sortedByCoord.out.bam","SeuratProject",334538,4781,"marmoset","newworld","primate","VE_CS5","9","9"
"CME25A7619274Aligned.sortedByCoord.out.bam","SeuratProject",202927,12026,"marmoset","newworld","primate","ExMes_CS5","1","1"
"CME25A7619276Aligned.sortedByCoord.out.bam","SeuratProject",314096,5029,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7619272Aligned.sortedByCoord.out.bam","SeuratProject",382937,4894,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7619275Aligned.sortedByCoord.out.bam","SeuratProject",329303,13042,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7619271Aligned.sortedByCoord.out.bam","SeuratProject",485224,6171,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7619269Aligned.sortedByCoord.out.bam","SeuratProject",171777,6132,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7619273Aligned.sortedByCoord.out.bam","SeuratProject",519393,11766,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7619270Aligned.sortedByCoord.out.bam","SeuratProject",840607,8310,"marmoset","newworld","primate","Gland_CS5","3","3"
"CME25A7619265Aligned.sortedByCoord.out.bam","SeuratProject",525582,12673,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7619267Aligned.sortedByCoord.out.bam","SeuratProject",235019,5394,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7619268Aligned.sortedByCoord.out.bam","SeuratProject",752127,5646,"marmoset","newworld","primate","SYS_CS5","9","9"
"CME25A7619266Aligned.sortedByCoord.out.bam","SeuratProject",358475,7470,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7587400Aligned.sortedByCoord.out.bam","SeuratProject",587117,7297,"marmoset","newworld","primate","VE_CS5","9","9"
"CME25A7587403Aligned.sortedByCoord.out.bam","SeuratProject",375880,14597,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7619264Aligned.sortedByCoord.out.bam","SeuratProject",719091,14818,"marmoset","newworld","primate","Gland_CS5","3","3"
"CME25A7587401Aligned.sortedByCoord.out.bam","SeuratProject",926818,6252,"marmoset","newworld","primate","ExMes_CS5","0","0"
"CME25A7587399Aligned.sortedByCoord.out.bam","SeuratProject",787490,10974,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7587398Aligned.sortedByCoord.out.bam","SeuratProject",832460,11861,"marmoset","newworld","primate","ReGland_CS5","3","3"
"CME25A7587402Aligned.sortedByCoord.out.bam","SeuratProject",1064516,7706,"marmoset","newworld","primate","EmDisc_CS5","0","0"
"CME25A7587397Aligned.sortedByCoord.out.bam","SeuratProject",282298,10122,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7587396Aligned.sortedByCoord.out.bam","SeuratProject",827177,6336,"marmoset","newworld","primate","SYS_CS5","9","9"
"CME25A7587392Aligned.sortedByCoord.out.bam","SeuratProject",1246650,7215,"marmoset","newworld","primate","EmDisc_CS5","9","9"
"CME25A7587394Aligned.sortedByCoord.out.bam","SeuratProject",1377489,7206,"marmoset","newworld","primate","VE_CS5","9","9"
"CME25A7587393Aligned.sortedByCoord.out.bam","SeuratProject",1011704,14028,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7587395Aligned.sortedByCoord.out.bam","SeuratProject",690857,9862,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7587388Aligned.sortedByCoord.out.bam","SeuratProject",582344,10974,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7587391Aligned.sortedByCoord.out.bam","SeuratProject",1161590,13366,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7587389Aligned.sortedByCoord.out.bam","SeuratProject",810932,8772,"marmoset","newworld","primate","ExMes_CS5","0","0"
"CME25A7587390Aligned.sortedByCoord.out.bam","SeuratProject",1309198,5616,"marmoset","newworld","primate","VE_CS5","9","9"
"CME25A7587386Aligned.sortedByCoord.out.bam","SeuratProject",469555,11110,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7587376Aligned.sortedByCoord.out.bam","SeuratProject",2376204,7041,"marmoset","newworld","primate","VE_CS5","9","9"
"CME25A7587385Aligned.sortedByCoord.out.bam","SeuratProject",557814,7463,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7587387Aligned.sortedByCoord.out.bam","SeuratProject",1520963,12048,"marmoset","newworld","primate","Gland_CS5","3","3"
"CME25A7587380Aligned.sortedByCoord.out.bam","SeuratProject",1419517,10304,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7587383Aligned.sortedByCoord.out.bam","SeuratProject",1384131,7994,"marmoset","newworld","primate","VE_CS5","9","9"
"CME25A7587382Aligned.sortedByCoord.out.bam","SeuratProject",1337731,11091,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7587377Aligned.sortedByCoord.out.bam","SeuratProject",1647123,10422,"marmoset","newworld","primate","Gland_CS5","3","3"
"CME25A7587384Aligned.sortedByCoord.out.bam","SeuratProject",1000688,8014,"marmoset","newworld","primate","VE_CS5","1","1"
"CME25A7587379Aligned.sortedByCoord.out.bam","SeuratProject",1462174,14957,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7587375Aligned.sortedByCoord.out.bam","SeuratProject",1720993,13249,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7587369Aligned.sortedByCoord.out.bam","SeuratProject",2008202,9370,"marmoset","newworld","primate","Gland_CS5","3","3"
"CME25A7587373Aligned.sortedByCoord.out.bam","SeuratProject",2931762,12095,"marmoset","newworld","primate","EmDisc_CS5","2","2"
"CME25A7587374Aligned.sortedByCoord.out.bam","SeuratProject",62817,4298,"marmoset","newworld","primate","ReGland_CS5","1","1"
"CME25A7587370Aligned.sortedByCoord.out.bam","SeuratProject",101171,3872,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7587368Aligned.sortedByCoord.out.bam","SeuratProject",108113,5039,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7587372Aligned.sortedByCoord.out.bam","SeuratProject",205748,5098,"marmoset","newworld","primate","Tb_CS5","4","4"
"CME25A7587371Aligned.sortedByCoord.out.bam","SeuratProject",262120,6110,"marmoset","newworld","primate","VE_CS5","9","9"
"CME25A7587362Aligned.sortedByCoord.out.bam","SeuratProject",262895,4713,"marmoset","newworld","primate","Gland_CS5","3","3"
"CME25A7587367Aligned.sortedByCoord.out.bam","SeuratProject",2651492,9903,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587366Aligned.sortedByCoord.out.bam","SeuratProject",2659152,8845,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587361Aligned.sortedByCoord.out.bam","SeuratProject",1320282,8429,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587365Aligned.sortedByCoord.out.bam","SeuratProject",1907258,9468,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587364Aligned.sortedByCoord.out.bam","SeuratProject",2676310,9201,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587363Aligned.sortedByCoord.out.bam","SeuratProject",2774291,7981,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587360Aligned.sortedByCoord.out.bam","SeuratProject",1320373,8460,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587359Aligned.sortedByCoord.out.bam","SeuratProject",188659,8004,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587354Aligned.sortedByCoord.out.bam","SeuratProject",839533,9431,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587358Aligned.sortedByCoord.out.bam","SeuratProject",1755442,9579,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587352Aligned.sortedByCoord.out.bam","SeuratProject",2772991,9987,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587353Aligned.sortedByCoord.out.bam","SeuratProject",3801495,9851,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587357Aligned.sortedByCoord.out.bam","SeuratProject",2200724,9068,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587356Aligned.sortedByCoord.out.bam","SeuratProject",2185081,9263,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587355Aligned.sortedByCoord.out.bam","SeuratProject",2369012,9776,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587351Aligned.sortedByCoord.out.bam","SeuratProject",3534127,9686,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587346Aligned.sortedByCoord.out.bam","SeuratProject",3501972,9212,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587348Aligned.sortedByCoord.out.bam","SeuratProject",3017246,9940,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587349Aligned.sortedByCoord.out.bam","SeuratProject",1962082,9914,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587345Aligned.sortedByCoord.out.bam","SeuratProject",4738658,9843,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587350Aligned.sortedByCoord.out.bam","SeuratProject",3260112,10622,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587347Aligned.sortedByCoord.out.bam","SeuratProject",3062303,10629,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587344Aligned.sortedByCoord.out.bam","SeuratProject",2692371,8691,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587343Aligned.sortedByCoord.out.bam","SeuratProject",1715232,8996,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587340Aligned.sortedByCoord.out.bam","SeuratProject",3167801,10412,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587342Aligned.sortedByCoord.out.bam","SeuratProject",3288461,9900,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587341Aligned.sortedByCoord.out.bam","SeuratProject",2070205,10354,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587339Aligned.sortedByCoord.out.bam","SeuratProject",3687709,10162,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587338Aligned.sortedByCoord.out.bam","SeuratProject",2795537,9786,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587337Aligned.sortedByCoord.out.bam","SeuratProject",2914950,8935,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587336Aligned.sortedByCoord.out.bam","SeuratProject",1821560,9837,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587335Aligned.sortedByCoord.out.bam","SeuratProject",1888346,9172,"marmoset","newworld","primate","Hyp_CS3","5","5"
"CME25A7587331Aligned.sortedByCoord.out.bam","SeuratProject",2839191,9982,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587334Aligned.sortedByCoord.out.bam","SeuratProject",1804814,9830,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587330Aligned.sortedByCoord.out.bam","SeuratProject",5457401,10797,"marmoset","newworld","primate","Hyp_CS3","10","10"
"CME25A7587328Aligned.sortedByCoord.out.bam","SeuratProject",3049004,8906,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587333Aligned.sortedByCoord.out.bam","SeuratProject",3282734,9313,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587329Aligned.sortedByCoord.out.bam","SeuratProject",1481496,9552,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587332Aligned.sortedByCoord.out.bam","SeuratProject",1638967,10142,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587327Aligned.sortedByCoord.out.bam","SeuratProject",1899825,10295,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587323Aligned.sortedByCoord.out.bam","SeuratProject",3680245,9651,"marmoset","newworld","primate","Hyp_CS3","10","10"
"CME25A7587324Aligned.sortedByCoord.out.bam","SeuratProject",3478087,9858,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587326Aligned.sortedByCoord.out.bam","SeuratProject",2697645,9673,"marmoset","newworld","primate","Hyp_CS3","10","10"
"CME25A7587325Aligned.sortedByCoord.out.bam","SeuratProject",2624200,8720,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587321Aligned.sortedByCoord.out.bam","SeuratProject",487140,8780,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587314Aligned.sortedByCoord.out.bam","SeuratProject",1719344,8921,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587322Aligned.sortedByCoord.out.bam","SeuratProject",2151179,9019,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587319Aligned.sortedByCoord.out.bam","SeuratProject",2193886,9168,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587320Aligned.sortedByCoord.out.bam","SeuratProject",3627349,9275,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587318Aligned.sortedByCoord.out.bam","SeuratProject",2157133,7521,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587315Aligned.sortedByCoord.out.bam","SeuratProject",1565500,8225,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587313Aligned.sortedByCoord.out.bam","SeuratProject",1135742,10034,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587309Aligned.sortedByCoord.out.bam","SeuratProject",2527246,10550,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587317Aligned.sortedByCoord.out.bam","SeuratProject",3050687,9347,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587316Aligned.sortedByCoord.out.bam","SeuratProject",3214574,9631,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587312Aligned.sortedByCoord.out.bam","SeuratProject",2850892,10165,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7587311Aligned.sortedByCoord.out.bam","SeuratProject",2766556,9720,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7587310Aligned.sortedByCoord.out.bam","SeuratProject",2467857,9452,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587307Aligned.sortedByCoord.out.bam","SeuratProject",1938001,9241,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7587304Aligned.sortedByCoord.out.bam","SeuratProject",2890252,9409,"marmoset","newworld","primate","Hyp_CS3","8","8"
"CME25A7587308Aligned.sortedByCoord.out.bam","SeuratProject",3863863,9183,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7587305Aligned.sortedByCoord.out.bam","SeuratProject",2492610,8566,"marmoset","newworld","primate","Hyp_CS3","10","10"
"CME25A7587306Aligned.sortedByCoord.out.bam","SeuratProject",3412356,10312,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7587300Aligned.sortedByCoord.out.bam","SeuratProject",2403164,9646,"marmoset","newworld","primate","Epi_CS3","10","10"
"CME25A7587299Aligned.sortedByCoord.out.bam","SeuratProject",2600326,10022,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587302Aligned.sortedByCoord.out.bam","SeuratProject",458271,6341,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587303Aligned.sortedByCoord.out.bam","SeuratProject",2020212,8306,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587301Aligned.sortedByCoord.out.bam","SeuratProject",2532866,9520,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587298Aligned.sortedByCoord.out.bam","SeuratProject",2567876,9793,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587297Aligned.sortedByCoord.out.bam","SeuratProject",1717721,8565,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587295Aligned.sortedByCoord.out.bam","SeuratProject",4618701,10033,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587293Aligned.sortedByCoord.out.bam","SeuratProject",2817031,9775,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587294Aligned.sortedByCoord.out.bam","SeuratProject",3239398,8999,"marmoset","newworld","primate","Tb_CS3","5","5"
"CME25A7587275Aligned.sortedByCoord.out.bam","SeuratProject",714419,7483,"marmoset","newworld","primate","EmDisc_CS6","2","2"
"CME25A7587278Aligned.sortedByCoord.out.bam","SeuratProject",1178498,7895,"marmoset","newworld","primate","ExMes_CS6","0","0"
