"","tSNE_1","tSNE_2"
"CME25A7796026Aligned.sortedByCoord.out.bam",18.0904701738274,19.391148833203
"CME25A7796021Aligned.sortedByCoord.out.bam",19.0893283866545,18.7587029736081
"CME25A7796023Aligned.sortedByCoord.out.bam",18.8465178729379,21.1270858774847
"CME25A7796025Aligned.sortedByCoord.out.bam",18.1959916536187,20.3402099922994
"CME25A7796027Aligned.sortedByCoord.out.bam",19.257151948525,19.1640270251471
"CME25A7796020Aligned.sortedByCoord.out.bam",18.0051267529296,20.4627846774359
"CME25A7796018Aligned.sortedByCoord.out.bam",18.2861064942532,17.9157560725796
"CME25A7796022Aligned.sortedByCoord.out.bam",19.0775641584514,19.3381623813321
"CME25A7796019Aligned.sortedByCoord.out.bam",18.3060649459113,20.7294638141646
"CME25A7796017Aligned.sortedByCoord.out.bam",18.6164640922223,20.0292249089466
"CME25A7796016Aligned.sortedByCoord.out.bam",19.1271217294136,19.2737056399031
"CME25A7796015Aligned.sortedByCoord.out.bam",18.4435185670173,19.0117338044765
"CME25A7796010Aligned.sortedByCoord.out.bam",18.6687449418356,18.9923076035993
"CME25A7796014Aligned.sortedByCoord.out.bam",18.6276006346942,18.438143001331
"CME25A7796013Aligned.sortedByCoord.out.bam",18.9862969470657,19.0361759549833
"CME25A7796008Aligned.sortedByCoord.out.bam",18.850295816734,19.4147684559142
"CME25A7796012Aligned.sortedByCoord.out.bam",18.6996196287691,18.0155597110961
"CME25A7796002Aligned.sortedByCoord.out.bam",18.1486904985994,19.7204476349611
"CME25A7796003Aligned.sortedByCoord.out.bam",18.786911653814,20.7158739942733
"CME25A7796004Aligned.sortedByCoord.out.bam",19.1468852991085,20.1971513501331
"CME25A7796006Aligned.sortedByCoord.out.bam",18.5221273848868,18.803724137589
"CME25A7796005Aligned.sortedByCoord.out.bam",17.9653661541421,18.5941279392466
"CME25A7796009Aligned.sortedByCoord.out.bam",17.9615365960708,22.0380981080233
"CME25A7796011Aligned.sortedByCoord.out.bam",17.8214823162776,21.9446807813017
"CME25A7796007Aligned.sortedByCoord.out.bam",17.510362161136,21.9795288954589
"CME25A7796000Aligned.sortedByCoord.out.bam",17.5359779741571,21.5552167200649
"CME25A7795998Aligned.sortedByCoord.out.bam",17.1529046321368,21.7251391032866
"CME25A7796001Aligned.sortedByCoord.out.bam",18.8860159430606,22.2291711589226
"CME25A7795997Aligned.sortedByCoord.out.bam",18.1103621686786,22.0344726146208
"CME25A7795996Aligned.sortedByCoord.out.bam",17.255918411844,21.6080262804106
"CME25A7795999Aligned.sortedByCoord.out.bam",18.1545767206101,22.0869164269401
"CME25A7795993Aligned.sortedByCoord.out.bam",17.572075961842,22.0216867460875
"CME25A7795992Aligned.sortedByCoord.out.bam",17.5043210766682,20.0104314191343
"CME25A7795991Aligned.sortedByCoord.out.bam",17.5703114967855,19.8330487794107
"CME25A7795994Aligned.sortedByCoord.out.bam",17.9751938339458,18.8332508115157
"CME25A7795995Aligned.sortedByCoord.out.bam",17.9882943382056,19.8199316634236
"CME25A7795988Aligned.sortedByCoord.out.bam",18.2986480691773,18.6084188289607
"CME25A7795987Aligned.sortedByCoord.out.bam",18.3715133251393,19.5833829700479
"CME25A7795989Aligned.sortedByCoord.out.bam",18.3544631549503,21.2665408673439
"CME25A7795990Aligned.sortedByCoord.out.bam",17.6644796080053,20.3108493971384
"CME25A7795986Aligned.sortedByCoord.out.bam",17.7983529177932,17.9881732018416
"CME25A7795983Aligned.sortedByCoord.out.bam",18.4254527707606,18.0080805687933
"CME25A7795985Aligned.sortedByCoord.out.bam",18.6116938722204,18.0174481137961
"CME25A7795984Aligned.sortedByCoord.out.bam",17.6071405115707,20.2548179223763
"CME25A7795981Aligned.sortedByCoord.out.bam",19.547516635516,21.1568739749097
"CME25A7795982Aligned.sortedByCoord.out.bam",19.7918891671563,21.3804178753685
"CME25A7795979Aligned.sortedByCoord.out.bam",18.6617363941964,20.2236056268239
"CME25A7795980Aligned.sortedByCoord.out.bam",18.9434117384402,20.0815439786055
"CME25A7795975Aligned.sortedByCoord.out.bam",18.6947533167203,17.2914232997175
"CME25A7795974Aligned.sortedByCoord.out.bam",19.1168724845504,21.2233378196492
"CME25A7795976Aligned.sortedByCoord.out.bam",17.9839226229782,18.6990128205666
"CME25A7795977Aligned.sortedByCoord.out.bam",19.4091300323938,20.2858053186751
"CME25A7795978Aligned.sortedByCoord.out.bam",18.776739329717,17.0755688913138
"CME25A7795972Aligned.sortedByCoord.out.bam",19.6827328292755,13.9385627816488
"CME25A7795971Aligned.sortedByCoord.out.bam",19.7518342378651,13.9635221510002
"CME25A7795968Aligned.sortedByCoord.out.bam",21.9699167754834,13.7110136811498
"CME25A7795973Aligned.sortedByCoord.out.bam",21.2405001703894,14.0603325324617
"CME25A7795969Aligned.sortedByCoord.out.bam",22.169672028593,12.796501408939
"CME25A7795967Aligned.sortedByCoord.out.bam",20.3037759581501,14.1508006164832
"CME25A7795966Aligned.sortedByCoord.out.bam",21.1032878978819,13.2098640153178
"CME25A7795970Aligned.sortedByCoord.out.bam",21.5940821892404,12.3770341125726
"CME25A7795965Aligned.sortedByCoord.out.bam",20.4271412465633,14.4975300152479
"CME25A7795963Aligned.sortedByCoord.out.bam",21.7134733184118,14.6825653146073
"CME25A7795962Aligned.sortedByCoord.out.bam",21.3925893023195,14.2574622420367
"CME25A7795964Aligned.sortedByCoord.out.bam",21.3401330685914,14.505252305018
"CME25A7795960Aligned.sortedByCoord.out.bam",22.052623539324,14.0940791915023
"CME25A7795957Aligned.sortedByCoord.out.bam",21.1784916259576,13.7164712251106
"CME25A7795958Aligned.sortedByCoord.out.bam",21.6386380741663,14.1617514634022
"CME25A7795959Aligned.sortedByCoord.out.bam",21.6960968035963,14.0234489488185
"CME25A7795961Aligned.sortedByCoord.out.bam",21.1671745727723,12.735379854631
"CME25A7795956Aligned.sortedByCoord.out.bam",21.7069083899851,15.0389923513404
"CME25A7795955Aligned.sortedByCoord.out.bam",22.1011243223736,14.8398537896109
"CME25A7795953Aligned.sortedByCoord.out.bam",20.5724716774703,15.2826121853031
"CME25A7795954Aligned.sortedByCoord.out.bam",20.4564279483994,14.4539356473327
"CME25A7795950Aligned.sortedByCoord.out.bam",21.6481443353175,13.2618527112446
"CME25A7795951Aligned.sortedByCoord.out.bam",20.5197315941134,15.9198623080479
"CME25A7795952Aligned.sortedByCoord.out.bam",20.0875222175643,14.7587345199679
"CME25A7795949Aligned.sortedByCoord.out.bam",20.7041381788646,13.9774958052179
"CME25A7795948Aligned.sortedByCoord.out.bam",20.3469613038824,16.9189172023006
"CME25A7795946Aligned.sortedByCoord.out.bam",20.8361180985429,12.9066884323128
"CME25A7795945Aligned.sortedByCoord.out.bam",20.4320840953528,12.7597403925399
"CME25A7795941Aligned.sortedByCoord.out.bam",20.7435356107248,13.257826029794
"CME25A7795944Aligned.sortedByCoord.out.bam",21.1541132756607,12.1528786375042
"CME25A7795940Aligned.sortedByCoord.out.bam",20.4403566679408,15.8534867658719
"CME25A7795947Aligned.sortedByCoord.out.bam",21.2300926890728,12.3014452463751
"CME25A7795942Aligned.sortedByCoord.out.bam",22.0141468466675,11.6255854682192
"CME25A7795939Aligned.sortedByCoord.out.bam",22.1992774010105,13.7322568040332
"CME25A7795943Aligned.sortedByCoord.out.bam",20.378358912203,15.0136605094128
"CME25A7795937Aligned.sortedByCoord.out.bam",20.9497026543837,13.8295789369144
"CME25A7795936Aligned.sortedByCoord.out.bam",20.9665996668973,12.5465111926894
"CME25A7795938Aligned.sortedByCoord.out.bam",21.6904820637995,13.5509762831314
"CME25A7795932Aligned.sortedByCoord.out.bam",20.4569785377208,15.0288034605316
"CME25A7795934Aligned.sortedByCoord.out.bam",20.4616070374119,16.6525320505259
"CME25A7795933Aligned.sortedByCoord.out.bam",22.2541869267144,14.0950285947485
"CME25A7795935Aligned.sortedByCoord.out.bam",21.1187881624643,11.9452755447876
"CME25A7795931Aligned.sortedByCoord.out.bam",14.1090212622784,-24.7011708889089
"CME25A7795930Aligned.sortedByCoord.out.bam",10.1629822894409,-19.9234692568367
"CME25A7795928Aligned.sortedByCoord.out.bam",12.6966622615587,-24.9290417665339
"CME25A7795929Aligned.sortedByCoord.out.bam",13.5004800949467,-24.1598947172478
"CME25A7795922Aligned.sortedByCoord.out.bam",13.9362596456115,-24.0176467292481
"CME25A7795925Aligned.sortedByCoord.out.bam",13.2587585240124,-25.3016389221003
"CME25A7795923Aligned.sortedByCoord.out.bam",12.3408345632539,-24.2139306004517
"CME25A7795927Aligned.sortedByCoord.out.bam",13.2007304672434,-25.1896393244381
"CME25A7795926Aligned.sortedByCoord.out.bam",13.1436873457455,-24.6166688274088
"CME25A7795924Aligned.sortedByCoord.out.bam",8.66395726137492,-18.7783023944382
"CME25A7795920Aligned.sortedByCoord.out.bam",13.7203443621248,-23.5525669042194
"CME25A7795918Aligned.sortedByCoord.out.bam",13.9802538489642,-24.7268747002293
"CME25A7795917Aligned.sortedByCoord.out.bam",12.8038003006753,-24.7150260876159
"CME25A7795921Aligned.sortedByCoord.out.bam",9.49793282495182,-19.2801129236817
"CME25A7795919Aligned.sortedByCoord.out.bam",12.9728741200113,-24.0392976352108
"CME25A7795915Aligned.sortedByCoord.out.bam",8.80832985277521,-19.0081490009952
"CME25A7795916Aligned.sortedByCoord.out.bam",9.300627236105,-19.6416788228886
"CME25A7795910Aligned.sortedByCoord.out.bam",13.983699274921,-24.4394650077515
"CME25A7795912Aligned.sortedByCoord.out.bam",13.7475931376953,-25.0926882714601
"CME25A7795913Aligned.sortedByCoord.out.bam",9.30415473155806,-19.2374854291729
"CME25A7795914Aligned.sortedByCoord.out.bam",8.70352973872977,-18.8952417969254
"CME25A7795909Aligned.sortedByCoord.out.bam",14.0548596780866,-23.8901982829402
"CME25A7795906Aligned.sortedByCoord.out.bam",14.1341525022368,-23.1776917052866
"CME25A7795908Aligned.sortedByCoord.out.bam",13.4984563136642,-24.9570986404609
"CME25A7795911Aligned.sortedByCoord.out.bam",13.4839312471892,-23.9849999493998
"CME25A7795907Aligned.sortedByCoord.out.bam",8.96772569667879,-18.6723400248985
"CME25A7795903Aligned.sortedByCoord.out.bam",13.32814693815,-24.8453778995337
"CME25A7795905Aligned.sortedByCoord.out.bam",8.55530671400493,-19.184993182105
"CME25A7795904Aligned.sortedByCoord.out.bam",13.4042769716459,-24.1648375642304
