"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"EIF4E2",8.93077728659025e-10,0.293518536100393,1,0.795,2.88669514234457e-05,"5","EIF4E2"
"NDUFB3",8.98580551495745e-10,0.364758458231276,1,0.957,2.9044819165997e-05,"5","NDUFB3"
"PLXNA3",9.09534726387122e-10,0.254355323325136,1,0.812,2.9398890961011e-05,"5","PLXNA3"
"PEF1",9.29898456699667e-10,0.332219398871294,0.984,0.741,3.00571078159033e-05,"5","PEF1"
"MRM3",9.30825052612592e-10,0.258720603890073,0.984,0.693,3.00870581755968e-05,"5","MRM3"
"GTF2H1",9.46701675841781e-10,0.287797923074522,1,0.816,3.06002382682339e-05,"5","GTF2H1"
"QARS",9.58791127698044e-10,0.430922404025739,1,0.921,3.09910056205839e-05,"5","QARS"
"PCCB",9.99911755973492e-10,0.303580481178185,0.984,0.783,3.23201476883312e-05,"5","PCCB"
"ENSCJAG00000007212",1.02670301590066e-09,0.517503239434645,1,0.994,3.31861215829572e-05,"5","ENSCJAG00000007212"
"ARMC6",1.13138242058431e-09,0.25217525612996,0.839,0.44,3.65696739805466e-05,"5","ARMC6"
"HK2",1.14221173672795e-09,0.303850917316315,1,0.749,3.69197099662574e-05,"5","HK2"
"CD151",1.1496052172006e-09,0.28310643680828,1,0.846,3.71586894355749e-05,"5","CD151"
"MCM2",1.16736869628119e-09,0.406116158074417,1,0.825,3.7732858369897e-05,"5","MCM2"
"ENSCJAG00000011731",1.18204181215482e-09,0.323553601701461,1,0.902,3.82071374942802e-05,"5","ENSCJAG00000011731"
"EIF2B1",1.20571756227214e-09,0.260119350248958,0.903,0.556,3.89724087653225e-05,"5","EIF2B1"
"MRPS27",1.24040696528955e-09,0.269092242931137,1,0.756,4.00936743390542e-05,"5","MRPS27"
"MRPL17",1.26164126064347e-09,0.257785572138244,1,0.851,4.07800304677788e-05,"5","MRPL17"
"PPP1R7",1.30966516632053e-09,0.27440805173402,0.935,0.617,4.23323071709785e-05,"5","PPP1R7"
"LETM1",1.39583430423954e-09,0.281365861190653,0.984,0.755,4.51175522159348e-05,"5","LETM1"
