,V1,V2,V3,V4
ERR2851720Aligned.sortedByCoord.out.bam,E-MTAB-7078:4cell_1_C2,Pre,4-cell_CS2,1
ERR2851721Aligned.sortedByCoord.out.bam,E-MTAB-7078:4cell_1_C3,Pre,4-cell_CS2,1
ERR2851722Aligned.sortedByCoord.out.bam,E-MTAB-7078:4cell_1_C4,Pre,4-cell_CS2,1
ERR2851723Aligned.sortedByCoord.out.bam,E-MTAB-7078:8cell_1_C1,Pre,8-cell_CS2,1
ERR2851724Aligned.sortedByCoord.out.bam,E-MTAB-7078:8cell_1_C2,Pre,8-cell_CS2,1
ERR2851725Aligned.sortedByCoord.out.bam,E-MTAB-7078:8cell_1_C3,Pre,8-cell_CS2,1
ERR2851726Aligned.sortedByCoord.out.bam,E-MTAB-7078:8cell_1_C5,Pre,8-cell_CS2,1
ERR2851727Aligned.sortedByCoord.out.bam,E-MTAB-7078:8cell_1_C6,Pre,8-cell_CS2,1
ERR2851728Aligned.sortedByCoord.out.bam,E-MTAB-7078:8cell_1_C7,Pre,8-cell_CS2,1
ERR2851729Aligned.sortedByCoord.out.bam,E-MTAB-7078:8cell_1_C8,Pre,8-cell_CS2,1
ERR2851730Aligned.sortedByCoord.out.bam,E-MTAB-7078:8cell_2_C1,Pre,8-cell_CS2,1
ERR2851731Aligned.sortedByCoord.out.bam,E-MTAB-7078:8cell_2_C2,Pre,8-cell_CS2,1
ERR2851732Aligned.sortedByCoord.out.bam,E-MTAB-7078:8cell_2_C3,Pre,8-cell_CS2,1
ERR2851733Aligned.sortedByCoord.out.bam,E-MTAB-7078:8cell_2_C4,Pre,8-cell_CS2,1
ERR2851734Aligned.sortedByCoord.out.bam,E-MTAB-7078:8cell_2_C5,Pre,8-cell_CS2,1
ERR2851735Aligned.sortedByCoord.out.bam,E-MTAB-7078:8cell_2_C6,Pre,8-cell_CS2,1
ERR2851736Aligned.sortedByCoord.out.bam,E-MTAB-7078:8cell_2_C7,Pre,8-cell_CS2,1
ERR2851737Aligned.sortedByCoord.out.bam,E-MTAB-7078:8cell_2_C8,Pre,8-cell_CS2,1
ERR2851738Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C1,Pre,cMor_CS3,1
ERR2851739Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C2,Pre,cMor_CS3,1
ERR2851740Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C4,Pre,cMor_CS3,1
ERR2851741Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C5,Pre,cMor_CS3,1
ERR2851742Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C6,Pre,cMor_CS3,1
ERR2851743Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C7,Pre,cMor_CS3,1
ERR2851744Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C8,Pre,cMor_CS3,1
ERR2851745Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C9,Pre,cMor_CS3,1
ERR2851746Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C10,Pre,cMor_CS3,1
ERR2851747Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C11,Pre,cMor_CS3,1
ERR2851748Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C12,Pre,cMor_CS3,1
ERR2851749Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C13,Pre,cMor_CS3,1
ERR2851750Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C14,Pre,cMor_CS3,1
ERR2851751Aligned.sortedByCoord.out.bam,E-MTAB-7078:CompactedMorula_1_C15,Pre,cMor_CS3,1
