"","marmoset_dataInVivo$LOC"
"ERR2851796Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_1_C9"
"ERR2851797Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_1_C10"
"ERR2851798Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_1_C11"
"ERR2851799Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_1_C12"
"ERR2851800Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C1"
"ERR2851801Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C2"
"ERR2851802Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C3"
"ERR2851803Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C4"
"ERR2851804Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C5"
"ERR2851805Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C6"
"ERR2851806Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C7"
"ERR2851807Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C8"
"ERR2851808Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C10"
"ERR2851809Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_2_C11"
"ERR2851810Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C3"
"ERR2851811Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C4"
"ERR2851812Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C5"
"ERR2851813Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C6"
"ERR2851814Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C7"
"ERR2851815Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C8"
"ERR2851816Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C9"
"ERR2851817Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C10"
"ERR2851818Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C11"
"ERR2851819Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C12"
"ERR2851820Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C13"
"ERR2851821Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C14"
"ERR2851822Aligned.sortedByCoord.out.bam","E-MTAB-7078:EarlyICM_3_C15"
