"","marmoset_dataInVivo$LOC"
"SLX.20304.i710_i511.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_W"
"SLX.20304.i710_i502.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_H"
"SLX.20304.i710_i510.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_K"
"SLX.20304.i707_i511.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_V"
"SLX.20304.i707_i502.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_G"
"SLX.20304.i707_i507.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_V"
"SLX.20304.i707_i503.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_S"
"SLX.20304.i707_i505.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_AR"
"SLX.20304.i707_i510.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_J"
"SLX.20304.i706_i507.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_U"
"SLX.20304.i706_i502.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_F"
"SLX.20304.i706_i506.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_I"
"SLX.20304.i706_i510.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_I"
"SLX.20304.i706_i505.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_AQ"
"SLX.20304.i705_i503.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_Q"
"SLX.20304.i705_i511.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_T"
"SLX.20304.i705_i507.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_T"
"SLX.20304.i705_i506.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_H"
"SLX.20304.i705_i505.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_AP"
"SLX.20304.i705_i502.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_E"
"SLX.20304.i704_i508.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_AE"
"SLX.20304.i704_i510.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_G"
"SLX.20304.i704_i511.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_S"
"SLX.20304.i704_i505.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_AO"
"SLX.20304.i704_i502.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_D"
"SLX.20304.i703_i511.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_R"
"SLX.20304.i704_i503.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_P"
"SLX.20304.i703_i507.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_R"
"SLX.20304.i703_i510.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_F"
"SLX.20304.i703_i505.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_AN"
"SLX.20304.i703_i502.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_C"
"SLX.20304.i703_i503.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_O"
"SLX.20304.i702_i511.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_Q"
"SLX.20304.i702_i507.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_Q"
"SLX.20304.i702_i508.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_AC"
"SLX.20304.i702_i510.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_E"
"SLX.20304.i702_i503.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_N"
"SLX.20304.i701_i508.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_AB"
"SLX.20304.i701_i503.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15B_198_M"
"SLX.20304.i701_i511.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_206_P"
"SLX.20304.i701_i507.H3FMJDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_209_P"
"SLX.20306.i715_i510.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_AV"
"SLX.20306.i715_i507.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_X"
"SLX.20306.i714_i511.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_220_K"
"SLX.20306.i714_i508.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_AI"
"SLX.20306.i714_i507.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_W"
"SLX.20306.i714_i510.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_AU"
"SLX.20306.i714_i503.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_198_AL"
"SLX.20306.i712_i511.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_220_J"
"SLX.20306.i712_i510.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_AT"
"SLX.20306.i712_i508.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_AH"
"SLX.20306.i712_i507.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_V"
"SLX.20306.i712_i506.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_J"
"SLX.20306.i711_i511.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_220_I"
"SLX.20306.i712_i503.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_198_AK"
"SLX.20306.i711_i508.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_AG"
"SLX.20306.i711_i510.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_AS"
"SLX.20306.i711_i507.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_U"
"SLX.20306.i711_i503.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_198_U"
"SLX.20306.i711_i505.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_198_AV"
"SLX.20306.i711_i502.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_198_I"
"SLX.20306.i710_i511.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_220_H"
"SLX.20306.i710_i508.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_AF"
"SLX.20306.i710_i510.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_AR"
"SLX.20306.i710_i507.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_T"
"SLX.20306.i710_i506.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_H"
"SLX.20306.i710_i505.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_198_AU"
"SLX.20306.i707_i511.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_220_G"
"SLX.20306.i707_i508.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_AE"
"SLX.20306.i707_i505.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_198_AT"
"SLX.20306.i707_i503.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_198_S"
"SLX.20306.i706_i511.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_220_F"
"SLX.20306.i706_i506.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_F"
"SLX.20306.i706_i503.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_198_R"
"SLX.20306.i705_i508.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_AC"
"SLX.20306.i705_i506.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_E"
"SLX.20306.i704_i508.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_AB"
"SLX.20306.i704_i510.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_AN"
"SLX.20306.i704_i511.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_220_D"
"SLX.20306.i704_i505.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_198_AQ"
"SLX.20306.i704_i503.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_198_P"
"SLX.20306.i703_i511.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_220_C"
"SLX.20306.i703_i506.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_C"
"SLX.20306.i703_i510.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_AM"
"SLX.20306.i703_i505.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_198_AP"
"SLX.20306.i703_i503.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_198_O"
"SLX.20306.i702_i508.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_Z"
"SLX.20306.i702_i506.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_B"
"SLX.20306.i702_i505.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_198_AO"
"SLX.20306.i701_i510.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_AK"
"SLX.20306.i701_i511.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_220_A"
"SLX.20306.i701_i508.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_210_Y"
"SLX.20306.i701_i505.H3FMGDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_198_AN"
"SLX.20305.i715_i511.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_AS"
"SLX.20305.i715_i503.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_AL"
"SLX.20305.i715_i508.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_U"
"SLX.20305.i715_i506.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_BJ"
"SLX.20305.i715_i507.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_I"
"SLX.20305.i714_i511.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_AR"
"SLX.20305.i714_i503.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_AK"
"SLX.20305.i714_i507.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_H"
"SLX.20305.i714_i506.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_BI"
"SLX.20305.i714_i508.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_T"
"SLX.20305.i712_i507.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_G"
"SLX.20305.i712_i511.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_AQ"
"SLX.20305.i712_i508.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_S"
"SLX.20305.i712_i503.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_AJ"
"SLX.20305.i711_i510.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_AD"
"SLX.20305.i711_i508.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_R"
"SLX.20305.i711_i507.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_F"
"SLX.20305.i711_i506.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_BG"
"SLX.20305.i710_i511.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_AO"
"SLX.20305.i710_i507.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_E"
"SLX.20305.i710_i505.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_AT"
"SLX.20305.i710_i503.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_AH"
"SLX.20305.i707_i506.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_BE"
"SLX.20305.i707_i507.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_D"
"SLX.20305.i707_i503.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_AG"
"SLX.20305.i706_i508.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_O"
"SLX.20305.i706_i507.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_C"
"SLX.20305.i706_i505.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_AR"
"SLX.20305.i706_i503.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_AF"
"SLX.20305.i705_i507.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_B"
"SLX.20305.i705_i508.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_N"
"SLX.20305.i705_i502.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15B_198_AB"
"SLX.20305.i705_i503.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_AE"
"SLX.20305.i704_i510.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_Y"
"SLX.20305.i704_i506.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_BB"
"SLX.20305.i704_i507.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_A"
"SLX.20305.i704_i505.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_AP"
"SLX.20305.i704_i502.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15B_198_AA"
"SLX.20305.i703_i508.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_L"
"SLX.20305.i703_i505.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_AO"
"SLX.20305.i703_i503.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_AC"
"SLX.20305.i702_i510.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_W"
"SLX.20305.i702_i508.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_K"
"SLX.20305.i702_i507.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_BL"
"SLX.20305.i702_i503.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_AB"
"SLX.20305.i701_i508.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_208_J"
"SLX.20305.i701_i502.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15B_198_X"
"SLX.20305.i701_i505.H3FMGDRXY.s_1.rAligned.sortedByCoord.out.bam","E15C1_206_AM"
"SLX.20329.i715_i506.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_BN"
"SLX.20329.i715_i503.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AP"
"SLX.20329.i715_i502.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AD"
"SLX.20329.i714_i510.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_W"
"SLX.20329.i714_i508.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_K"
"SLX.20329.i714_i506.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_BM"
"SLX.20329.i714_i503.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AO"
"SLX.20329.i714_i505.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_BA"
"SLX.20329.i714_i502.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AC"
"SLX.20329.i712_i507.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_BX"
"SLX.20329.i712_i508.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_J"
"SLX.20329.i712_i510.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_V"
"SLX.20329.i712_i506.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_BL"
"SLX.20329.i712_i503.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AN"
"SLX.20329.i711_i507.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_BW"
"SLX.20329.i711_i511.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_AG"
"SLX.20329.i711_i506.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_BK"
"SLX.20329.i711_i505.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AY"
"SLX.20329.i711_i502.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AA"
"SLX.20329.i711_i503.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AM"
"SLX.20329.i710_i511.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_AF"
"SLX.20329.i710_i507.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_BV"
"SLX.20329.i710_i508.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_H"
"SLX.20329.i710_i506.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_BJ"
"SLX.20329.i707_i506.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_BI"
"SLX.20329.i710_i503.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AL"
"SLX.20329.i710_i502.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_Z"
"SLX.20329.i707_i507.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_BU"
"SLX.20329.i707_i508.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_G"
"SLX.20329.i707_i505.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AW"
"SLX.20329.i707_i502.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_Y"
"SLX.20329.i707_i503.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AK"
"SLX.20329.i706_i507.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_BT"
"SLX.20329.i706_i511.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_AD"
"SLX.20329.i706_i510.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_R"
"SLX.20329.i706_i508.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_F"
"SLX.20329.i706_i505.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AV"
"SLX.20329.i705_i507.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_BS"
"SLX.20329.i705_i510.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_Q"
"SLX.20329.i706_i502.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_X"
"SLX.20329.i705_i511.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_AC"
"SLX.20329.i705_i508.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_E"
"SLX.20329.i705_i505.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AU"
"SLX.20329.i705_i503.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AI"
"SLX.20329.i704_i508.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_D"
"SLX.20329.i705_i502.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_W"
"SLX.20329.i704_i507.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_BR"
"SLX.20329.i703_i511.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_AA"
"SLX.20329.i704_i502.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_V"
"SLX.20329.i703_i508.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_C"
"SLX.20329.i702_i510.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_N"
"SLX.20329.i703_i505.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AS"
"SLX.20329.i703_i502.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_U"
"SLX.20329.i703_i503.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AG"
"SLX.20329.i702_i507.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_BP"
"SLX.20329.i702_i505.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AR"
"SLX.20329.i702_i506.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_BD"
"SLX.20329.i701_i510.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_M"
"SLX.20329.i701_i507.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_BO"
"SLX.20329.i702_i502.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_T"
"SLX.20329.i702_i503.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AF"
"SLX.20329.i701_i508.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E15C1_212_A"
"SLX.20329.i701_i506.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_BC"
"SLX.20329.i701_i502.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_S"
"SLX.20329.i701_i503.H3NYWDRXY.s_2.rAligned.sortedByCoord.out.bam","E25D_220_AE"
"SLX.20307.i701_i502.H3FT3DRXY.s_1.r_SLX.20307.i701_i502.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_A"
"SLX.20307.i701_i505.H3FT3DRXY.s_1.r_SLX.20307.i701_i505.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_Y"
"SLX.20307.i701_i506.H3FT3DRXY.s_1.r_SLX.20307.i701_i506.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_AK"
"SLX.20307.i702_i502.H3FT3DRXY.s_1.r_SLX.20307.i702_i502.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_B"
"SLX.20307.i702_i503.H3FT3DRXY.s_1.r_SLX.20307.i702_i503.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_N"
"SLX.20307.i702_i506.H3FT3DRXY.s_1.r_SLX.20307.i702_i506.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_AL"
"SLX.20307.i702_i510.H3FT3DRXY.s_1.r_SLX.20307.i702_i510.H3MLCDRXY.s_1.r.sorted.bam","E15C1_220_T"
"SLX.20307.i703_i505.H3FT3DRXY.s_1.r_SLX.20307.i703_i505.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_AA"
"SLX.20307.i703_i507.H3FT3DRXY.s_1.r_SLX.20307.i703_i507.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_AY"
"SLX.20307.i703_i511.H3FT3DRXY.s_1.r_SLX.20307.i703_i511.H3MLCDRXY.s_1.r.sorted.bam","E15C1_220_AG"
"SLX.20307.i704_i502.H3FT3DRXY.s_1.r_SLX.20307.i704_i502.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_D"
"SLX.20307.i704_i506.H3FT3DRXY.s_1.r_SLX.20307.i704_i506.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_AN"
"SLX.20307.i704_i507.H3FT3DRXY.s_1.r_SLX.20307.i704_i507.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_AZ"
"SLX.20307.i704_i510.H3FT3DRXY.s_1.r_SLX.20307.i704_i510.H3MLCDRXY.s_1.r.sorted.bam","E15C1_220_V"
"SLX.20307.i705_i502.H3FT3DRXY.s_1.r_SLX.20307.i705_i502.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_E"
"SLX.20307.i705_i505.H3FT3DRXY.s_1.r_SLX.20307.i705_i505.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_AC"
"SLX.20307.i705_i507.H3FT3DRXY.s_1.r_SLX.20307.i705_i507.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_BA"
"SLX.20307.i705_i508.H3FT3DRXY.s_1.r_SLX.20307.i705_i508.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_BM"
"SLX.20307.i705_i510.H3FT3DRXY.s_1.r_SLX.20307.i705_i510.H3MLCDRXY.s_1.r.sorted.bam","E15C1_220_W"
"SLX.20307.i706_i502.H3FT3DRXY.s_1.r_SLX.20307.i706_i502.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_F"
"SLX.20307.i706_i505.H3FT3DRXY.s_1.r_SLX.20307.i706_i505.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_AD"
"SLX.20307.i706_i506.H3FT3DRXY.s_1.r_SLX.20307.i706_i506.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_AP"
"SLX.20307.i706_i507.H3FT3DRXY.s_1.r_SLX.20307.i706_i507.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_BB"
"SLX.20307.i706_i508.H3FT3DRXY.s_1.r_SLX.20307.i706_i508.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_BN"
"SLX.20307.i706_i510.H3FT3DRXY.s_1.r_SLX.20307.i706_i510.H3MLCDRXY.s_1.r.sorted.bam","E15C1_220_X"
"SLX.20307.i707_i502.H3FT3DRXY.s_1.r_SLX.20307.i707_i502.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_G"
"SLX.20307.i707_i503.H3FT3DRXY.s_1.r_SLX.20307.i707_i503.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_S"
"SLX.20307.i707_i505.H3FT3DRXY.s_1.r_SLX.20307.i707_i505.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_AE"
"SLX.20307.i707_i506.H3FT3DRXY.s_1.r_SLX.20307.i707_i506.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_AQ"
"SLX.20307.i707_i507.H3FT3DRXY.s_1.r_SLX.20307.i707_i507.H3MLCDRXY.s_1.r.sorted.bam","E15C2_237_BC"
"SLX.20307.i707_i508.H3FT3DRXY.s_1.r_SLX.20307.i707_i508.H3MLCDRXY.s_1.r.sorted.bam","E15C1_220_M"
