Filename,SRR,ID,Day,Type,Type2,Type3,Type4,Type5,Order
SRR10039960Aligned.sortedByCoord.out.bam,SRR10039960,D14A1S11,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,95
SRR10039950Aligned.sortedByCoord.out.bam,SRR10039950,D14A1B28,D14,EPI,EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,96
SRR10039959Aligned.sortedByCoord.out.bam,SRR10039959,D14A1S10,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,97
SRR10039956Aligned.sortedByCoord.out.bam,SRR10039956,D14A1B7,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,98
SRR10039944Aligned.sortedByCoord.out.bam,SRR10039944,D14A1B22,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,99
SRR10039953Aligned.sortedByCoord.out.bam,SRR10039953,D14A1B4,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,100
SRR10039945Aligned.sortedByCoord.out.bam,SRR10039945,D14A1B23,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,101
SRR10039947Aligned.sortedByCoord.out.bam,SRR10039947,D14A1B25,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,102
SRR10039955Aligned.sortedByCoord.out.bam,SRR10039955,D14A1B6,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,103
SRR10039946Aligned.sortedByCoord.out.bam,SRR10039946,D14A1B24,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,104
SRR10039954Aligned.sortedByCoord.out.bam,SRR10039954,D14A1B5,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,105
SRR10039952Aligned.sortedByCoord.out.bam,SRR10039952,D14A1B3,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,106
SRR10039951Aligned.sortedByCoord.out.bam,SRR10039951,D14A1B2,D14,PSA-EPI,PSA-EPI_D14,EmDisc_CS6,EmDisc_CS6,EmDisc_CS6,107
SRR10039942Aligned.sortedByCoord.out.bam,SRR10039942,D14A1B20,D14,STB,STB_D14,Tb_CS6,STb_CS6,Tb_CS6,108
SRR10039943Aligned.sortedByCoord.out.bam,SRR10039943,D14A1B21,D14,PrE,PrE_D14,SYS_CS6,SYS_CS6,SYS_CS6,109
