File,ID,CompID,CompID,Location,uLoc,EmbryoStage,EmbryoID,Carnegie Stage,Annotation,Annotation2,Annotation3,Order,Unique_Reads,%Mapped,%Mapped_to_annotation_base,%Mapped_to_annotation_5kbextended,%Mapped_to_annotation_1kbextended,QC,NoGenes,FinalAverage,All,vsCyno,Table,PreImp,vsCynoMin,PostImp,AllPImp,ForMapping,MapES,SpatialModelPlus,vsCynoClara,SpatialModelPlus2
CME25A7812697Aligned.sortedByCoord.out.bam,CME25A7812697,CME25A7812697,CME25A7812697,P1_E15B_193_AF,Tb_CS5_P1_E15B_193_AF,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,67,1615852,0.8242,0.123191238,0.175033979,0.14365066,1,7614,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812694Aligned.sortedByCoord.out.bam,CME25A7812694,CME25A7812694,CME25A7812694,P1_E15B_193_AC,Tb_CS5_P1_E15B_193_AC,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,69,1076975,0.7549,0.267454473,0.33964212,0.300914705,1,7036,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812688Aligned.sortedByCoord.out.bam,CME25A7812688,CME25A7812688,CME25A7812688,P1_E15B_193_W,VE_CS5_P1_E15B_193_W,E15,E15B,CS5,VE_CS5_,VE_CS5,VE_CS5,70,3824801,0.6851,0.418318652,0.530986156,0.474105652,1,5877,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812690Aligned.sortedByCoord.out.bam,CME25A7812690,CME25A7812690,CME25A7812690,P1_E15B_193_Y,EmDisc_CS5_P1_E15B_193_Y,E15,E15B,CS5,EmDisc_CS5_,EmDisc_CS5,EmDisc_CS5,72,2474397,0.8465,0.173871456,0.231078185,0.196675884,1,8166,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812691Aligned.sortedByCoord.out.bam,CME25A7812691,CME25A7812691,CME25A7812691,P1_E15B_193_Z,EmDisc_CS5_P1_E15B_193_Z,E15,E15B,CS5,EmDisc_CS5_,EmDisc_CS5,EmDisc_CS5,74,1489663,0.7133,0.276029216,0.35436884,0.314274301,1,7205,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812687Aligned.sortedByCoord.out.bam,CME25A7812687,CME25A7812687,CME25A7812687,P1_E15B_193_V,EmDisc_CS5_P1_E15B_193_V,E15,E15B,CS5,EmDisc_CS5_,EmDisc_CS5,EmDisc_CS5,75,2264570,0.811,0.237667176,0.29943064,0.265814721,1,9361,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812686Aligned.sortedByCoord.out.bam,CME25A7812686,CME25A7812686,CME25A7812686,P1_E15B_193_U,EmDisc_CS5_P1_E15B_193_U,E15,E15B,CS5,EmDisc_CS5_,EmDisc_CS5,EmDisc_CS5,76,3431411,0.8398,0.173949809,0.224120944,0.19354597,1,8752,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812680Aligned.sortedByCoord.out.bam,CME25A7812680,CME25A7812680,CME25A7812680,P1_E15B_193_O,PGC_CS5_P1_E15B_193_O,E15,E15B,CS5,PGC_CS5_,PGC_CS5,PGC_CS5,77,4856004,0.8521,0.108385063,0.153285789,0.125264246,1,9373,1,1,1,1,0,0,1,1,1,1,1,1,1
CME25A7812684Aligned.sortedByCoord.out.bam,CME25A7812684,CME25A7812684,CME25A7812684,P1_E15B_193_S,ExMes_CS5_P1_E15B_193_S,E15,E15B,CS5,ExMes_CS5_,ExMes_CS5,ExMes_CS5,78,2448626,0.6655,0.403643863,0.504620476,0.45204139,1,6143,1,1,1,1,0,1,1,1,1,1,1,1,1
CME25A7812685Aligned.sortedByCoord.out.bam,CME25A7812685,CME25A7812685,CME25A7812685,P1_E15B_193_T,Tb_CS5_P1_E15B_193_T,E15,E15B,CS5,Tb_CS5_,Tb_CS5,Tb_CS5,79,1772821,0.6709,0.350288775,0.419685887,0.38537024,1,7054,1,1,1,1,0,1,1,1,1,1,1,1,1
