File,ID,Desc,ID2,ID3,Section,Position,Stage,PosID,Embryo,IsEmb,NotRef,Order
SRR7984321Aligned.sortedByCoord.out.bam,SRR7984321,Stage E7.0 embryo 2 section 5 region EP (E7.0_2_5EP),E7.0_2_5EP,5EP.E7.0,5,EP,E7.0,5EP.E7.0,2,1,1,623
SRR7984324Aligned.sortedByCoord.out.bam,SRR7984324,Stage E7.0 embryo 2 section 6 region A (E7.0_2_6A),E7.0_2_6A,6A.E7.0,6,A,E7.0,6A.E7.0,2,1,1,624
SRR7984322Aligned.sortedByCoord.out.bam,SRR7984322,Stage E7.0 embryo 2 section 5 region M (E7.0_2_5M),E7.0_2_5M,5M.E7.0,5,M,E7.0,5M.E7.0,2,1,1,625
SRR7984325Aligned.sortedByCoord.out.bam,SRR7984325,Stage E7.0 embryo 2 section 6 region EA (E7.0_2_6EA),E7.0_2_6EA,6EA.E7.0,6,EA,E7.0,6EA.E7.0,2,1,1,626
SRR7984319Aligned.sortedByCoord.out.bam,SRR7984319,Stage E7.0 embryo 2 section 4 region P (E7.0_2_4P),E7.0_2_4P,4P.E7.0,4,P,E7.0,4P.E7.0,2,1,1,627
SRR7984320Aligned.sortedByCoord.out.bam,SRR7984320,Stage E7.0 embryo 2 section 5 region EA (E7.0_2_5EA),E7.0_2_5EA,5EA.E7.0,5,EA,E7.0,5EA.E7.0,2,1,1,628
SRR7984317Aligned.sortedByCoord.out.bam,SRR7984317,Stage E7.0 embryo 2 section 4 region EP (E7.0_2_4EP),E7.0_2_4EP,4EP.E7.0,4,EP,E7.0,4EP.E7.0,2,1,1,629
SRR7984315Aligned.sortedByCoord.out.bam,SRR7984315,Stage E7.0 embryo 2 section 3 region R (E7.0_2_3R),E7.0_2_3R,3R.E7.0,3,R,E7.0,3R.E7.0,2,1,1,630
SRR7984318Aligned.sortedByCoord.out.bam,SRR7984318,Stage E7.0 embryo 2 section 4 region M (E7.0_2_4M),E7.0_2_4M,4M.E7.0,4,M,E7.0,4M.E7.0,2,1,1,631
SRR7984313Aligned.sortedByCoord.out.bam,SRR7984313,Stage E7.0 embryo 2 section 3 region M (E7.0_2_3M),E7.0_2_3M,3M.E7.0,3,M,E7.0,3M.E7.0,2,1,1,632
SRR7984316Aligned.sortedByCoord.out.bam,SRR7984316,Stage E7.0 embryo 2 section 4 region EA (E7.0_2_4EA),E7.0_2_4EA,4EA.E7.0,4,EA,E7.0,4EA.E7.0,2,1,1,633
SRR7984314Aligned.sortedByCoord.out.bam,SRR7984314,Stage E7.0 embryo 2 section 3 region P (E7.0_2_3P),E7.0_2_3P,3P.E7.0,3,P,E7.0,3P.E7.0,2,1,1,634
SRR7984312Aligned.sortedByCoord.out.bam,SRR7984312,Stage E7.0 embryo 2 section 3 region L (E7.0_2_3L),E7.0_2_3L,3L.E7.0,3,L,E7.0,3L.E7.0,2,1,1,635
SRR7984311Aligned.sortedByCoord.out.bam,SRR7984311,Stage E7.0 embryo 2 section 3 region EP (E7.0_2_3EP),E7.0_2_3EP,3EP.E7.0,3,EP,E7.0,3EP.E7.0,2,1,1,636
SRR7984310Aligned.sortedByCoord.out.bam,SRR7984310,Stage E7.0 embryo 2 section 3 region EA (E7.0_2_3EA),E7.0_2_3EA,3EA.E7.0,3,EA,E7.0,3EA.E7.0,2,1,1,637
